"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Update exercise","LMS service","Sun Jun 15 07:45:32 GMT 2025","passed","Sun Jun 15 07:45:32 GMT 2025","Update entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sun Jun 15 07:45:37 GMT 2025","passed","Sun Jun 15 07:45:38 GMT 2025","Validate entity","Files","",""
"","560","Create user","LMS service","Sun Jun 15 07:45:38 GMT 2025","passed","Sun Jun 15 07:45:38 GMT 2025","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Sun Jun 15 07:45:29 GMT 2025","passed","Sun Jun 15 07:45:30 GMT 2025","Login","Authentication","",""
"","290","Get file","LMS service","Sun Jun 15 07:45:36 GMT 2025","passed","Sun Jun 15 07:45:36 GMT 2025","Get entity","Files","",""
"","299","Update course","LMS service","Sun Jun 15 07:45:31 GMT 2025","passed","Sun Jun 15 07:45:31 GMT 2025","Update entity","Courses","",""
"","22","Create file","LMS service","Sun Jun 15 07:45:34 GMT 2025","passed","Sun Jun 15 07:45:34 GMT 2025","Create entity","Files","",""
"","562","Create user","LMS service","Sun Jun 15 07:45:38 GMT 2025","passed","Sun Jun 15 07:45:38 GMT 2025","Create entity","Users","",""
"","32","Create course","LMS service","Sun Jun 15 07:45:31 GMT 2025","passed","Sun Jun 15 07:45:31 GMT 2025","Create entity","Courses","",""
"","19","Get exercises","LMS service","Sun Jun 15 07:45:34 GMT 2025","passed","Sun Jun 15 07:45:34 GMT 2025","Get entities","Exercises","",""
"","56","Get exercise","LMS service","Sun Jun 15 07:45:33 GMT 2025","passed","Sun Jun 15 07:45:33 GMT 2025","Get entity","Exercises","",""
"","271","Create file with empty directory","LMS service","Sun Jun 15 07:45:36 GMT 2025","passed","Sun Jun 15 07:45:37 GMT 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Sun Jun 15 07:45:33 GMT 2025","passed","Sun Jun 15 07:45:33 GMT 2025","Delete entity","Exercises","",""
"","256","Create file with empty filename","LMS service","Sun Jun 15 07:45:35 GMT 2025","passed","Sun Jun 15 07:45:36 GMT 2025","Validate entity","Files","",""
"","535","Create user","LMS service","Sun Jun 15 07:45:37 GMT 2025","passed","Sun Jun 15 07:45:38 GMT 2025","Create entity","Users","",""
"","20","Delete file","LMS service","Sun Jun 15 07:45:37 GMT 2025","passed","Sun Jun 15 07:45:37 GMT 2025","Delete entity","Files","",""
"","27","Get courses","LMS service","Sun Jun 15 07:45:30 GMT 2025","passed","Sun Jun 15 07:45:30 GMT 2025","Get entities","Courses","",""
"","11","Get user me","LMS service","Sun Jun 15 07:45:39 GMT 2025","passed","Sun Jun 15 07:45:39 GMT 2025","Get entity","Users","",""
"","26","Create exercise","LMS service","Sun Jun 15 07:45:32 GMT 2025","passed","Sun Jun 15 07:45:32 GMT 2025","Create entity","Exercises","",""
