"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get courses","LMS service","Sun Jun 15 07:47:16 GMT 2025","passed","Sun Jun 15 07:47:16 GMT 2025","Get entities","Courses","",""
"","547","Login with correct email and password","LMS service","Sun Jun 15 07:47:15 GMT 2025","passed","Sun Jun 15 07:47:16 GMT 2025","Login","Authentication","",""
"","23","Delete exercise","LMS service","Sun Jun 15 07:47:20 GMT 2025","passed","Sun Jun 15 07:47:20 GMT 2025","Delete entity","Exercises","",""
"","23","Update exercise","LMS service","Sun Jun 15 07:47:18 GMT 2025","passed","Sun Jun 15 07:47:18 GMT 2025","Update entity","Exercises","",""
"","36","Create course","LMS service","Sun Jun 15 07:47:17 GMT 2025","passed","Sun Jun 15 07:47:17 GMT 2025","Create entity","Courses","",""
"","563","Create user","LMS service","Sun Jun 15 07:47:24 GMT 2025","passed","Sun Jun 15 07:47:25 GMT 2025","Create entity","Users","",""
"","32","Update course","LMS service","Sun Jun 15 07:47:17 GMT 2025","passed","Sun Jun 15 07:47:17 GMT 2025","Update entity","Courses","",""
"","262","Create file with empty directory","LMS service","Sun Jun 15 07:47:23 GMT 2025","passed","Sun Jun 15 07:47:23 GMT 2025","Validate entity","Files","",""
"","571","Create user","LMS service","Sun Jun 15 07:47:24 GMT 2025","passed","Sun Jun 15 07:47:25 GMT 2025","Create entity","Users","",""
"","16","Get exercises","LMS service","Sun Jun 15 07:47:21 GMT 2025","passed","Sun Jun 15 07:47:21 GMT 2025","Get entities","Exercises","",""
"","23","Create exercise","LMS service","Sun Jun 15 07:47:18 GMT 2025","passed","Sun Jun 15 07:47:18 GMT 2025","Create entity","Exercises","",""
"","20","Delete file","LMS service","Sun Jun 15 07:47:23 GMT 2025","passed","Sun Jun 15 07:47:24 GMT 2025","Delete entity","Files","",""
"","540","Create user","LMS service","Sun Jun 15 07:47:24 GMT 2025","passed","Sun Jun 15 07:47:24 GMT 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Sun Jun 15 07:47:25 GMT 2025","passed","Sun Jun 15 07:47:25 GMT 2025","Get entity","Users","",""
"","20","Create file","LMS service","Sun Jun 15 07:47:21 GMT 2025","passed","Sun Jun 15 07:47:21 GMT 2025","Create entity","Files","",""
"","288","Get file","LMS service","Sun Jun 15 07:47:22 GMT 2025","passed","Sun Jun 15 07:47:22 GMT 2025","Get entity","Files","",""
"","264","Create file with empty filename","LMS service","Sun Jun 15 07:47:22 GMT 2025","passed","Sun Jun 15 07:47:22 GMT 2025","Validate entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Sun Jun 15 07:47:24 GMT 2025","passed","Sun Jun 15 07:47:24 GMT 2025","Validate entity","Files","",""
"","53","Get exercise","LMS service","Sun Jun 15 07:47:20 GMT 2025","passed","Sun Jun 15 07:47:20 GMT 2025","Get entity","Exercises","",""
