"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","529","Create user","LMS service","Sat Jun 14 15:26:39 GMT 2025","passed","Sat Jun 14 15:26:39 GMT 2025","Create entity","Users","",""
"","291","Update exercise","LMS service","Sat Jun 14 15:26:34 GMT 2025","passed","Sat Jun 14 15:26:34 GMT 2025","Update entity","Exercises","",""
"","15","Get exercise","LMS service","Sat Jun 14 15:26:34 GMT 2025","passed","Sat Jun 14 15:26:35 GMT 2025","Get entity","Exercises","",""
"","557","Create user","LMS service","Sat Jun 14 15:26:39 GMT 2025","passed","Sat Jun 14 15:26:40 GMT 2025","Create entity","Users","",""
"","271","Create file","LMS service","Sat Jun 14 15:26:36 GMT 2025","passed","Sat Jun 14 15:26:36 GMT 2025","Create entity","Files","",""
"","15","Get exercises","LMS service","Sat Jun 14 15:26:36 GMT 2025","passed","Sat Jun 14 15:26:36 GMT 2025","Get entities","Exercises","",""
"","21","Delete file","LMS service","Sat Jun 14 15:26:39 GMT 2025","passed","Sat Jun 14 15:26:39 GMT 2025","Delete entity","Files","",""
"","265","Create file with empty directory","LMS service","Sat Jun 14 15:26:38 GMT 2025","passed","Sat Jun 14 15:26:38 GMT 2025","Validate entity","Files","",""
"","289","Create user","LMS service","Sat Jun 14 15:26:39 GMT 2025","passed","Sat Jun 14 15:26:40 GMT 2025","Create entity","Users","",""
"","286","Delete exercise","LMS service","Sat Jun 14 15:26:35 GMT 2025","passed","Sat Jun 14 15:26:35 GMT 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Sat Jun 14 15:26:40 GMT 2025","passed","Sat Jun 14 15:26:40 GMT 2025","Get entity","Users","",""
"","17","Get file","LMS service","Sat Jun 14 15:26:37 GMT 2025","passed","Sat Jun 14 15:26:37 GMT 2025","Get entity","Files","",""
"","19","Create exercise","LMS service","Sat Jun 14 15:26:33 GMT 2025","passed","Sat Jun 14 15:26:33 GMT 2025","Create entity","Exercises","",""
"","29","Create course","LMS service","Sat Jun 14 15:26:33 GMT 2025","passed","Sat Jun 14 15:26:33 GMT 2025","Create entity","Courses","",""
"","302","Update course","LMS service","Sat Jun 14 15:26:32 GMT 2025","passed","Sat Jun 14 15:26:32 GMT 2025","Update entity","Courses","",""
"","264","Create file with empty filename","LMS service","Sat Jun 14 15:26:37 GMT 2025","passed","Sat Jun 14 15:26:37 GMT 2025","Validate entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Sat Jun 14 15:26:39 GMT 2025","passed","Sat Jun 14 15:26:39 GMT 2025","Validate entity","Files","",""
"","295","Get courses","LMS service","Sat Jun 14 15:26:31 GMT 2025","passed","Sat Jun 14 15:26:32 GMT 2025","Get entities","Courses","",""
"","285","Login with correct email and password","LMS service","Sat Jun 14 15:26:31 GMT 2025","passed","Sat Jun 14 15:26:31 GMT 2025","Login","Authentication","",""
