"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Delete exercise","LMS service","Sun Jun 15 07:47:33 GMT 2025","passed","Sun Jun 15 07:47:33 GMT 2025","Delete entity","Exercises","",""
"","540","Create user","LMS service","Sun Jun 15 07:47:36 GMT 2025","passed","Sun Jun 15 07:47:37 GMT 2025","Create entity","Users","",""
"","14","Get exercises","LMS service","Sun Jun 15 07:47:33 GMT 2025","passed","Sun Jun 15 07:47:33 GMT 2025","Get entities","Exercises","",""
"","267","Create file with empty directory","LMS service","Sun Jun 15 07:47:36 GMT 2025","passed","Sun Jun 15 07:47:36 GMT 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Sun Jun 15 07:47:37 GMT 2025","passed","Sun Jun 15 07:47:37 GMT 2025","Create entity","Users","",""
"","288","Update exercise","LMS service","Sun Jun 15 07:47:32 GMT 2025","passed","Sun Jun 15 07:47:32 GMT 2025","Update entity","Exercises","",""
"","31","Create course","LMS service","Sun Jun 15 07:47:30 GMT 2025","passed","Sun Jun 15 07:47:30 GMT 2025","Create entity","Courses","",""
"","264","Create file","LMS service","Sun Jun 15 07:47:34 GMT 2025","passed","Sun Jun 15 07:47:34 GMT 2025","Create entity","Files","",""
"","33","Update course","LMS service","Sun Jun 15 07:47:30 GMT 2025","passed","Sun Jun 15 07:47:30 GMT 2025","Update entity","Courses","",""
"","286","Login with correct email and password","LMS service","Sun Jun 15 07:47:28 GMT 2025","passed","Sun Jun 15 07:47:29 GMT 2025","Login","Authentication","",""
"","11","Get user me","LMS service","Sun Jun 15 07:47:38 GMT 2025","passed","Sun Jun 15 07:47:38 GMT 2025","Get entity","Users","",""
"","560","Create user","LMS service","Sun Jun 15 07:47:37 GMT 2025","passed","Sun Jun 15 07:47:38 GMT 2025","Create entity","Users","",""
"","18","Get exercise","LMS service","Sun Jun 15 07:47:32 GMT 2025","passed","Sun Jun 15 07:47:32 GMT 2025","Get entity","Exercises","",""
"","295","Get courses","LMS service","Sun Jun 15 07:47:29 GMT 2025","passed","Sun Jun 15 07:47:29 GMT 2025","Get entities","Courses","",""
"","21","Delete file","LMS service","Sun Jun 15 07:47:36 GMT 2025","passed","Sun Jun 15 07:47:36 GMT 2025","Delete entity","Files","",""
"","267","Create file with empty filename","LMS service","Sun Jun 15 07:47:35 GMT 2025","passed","Sun Jun 15 07:47:35 GMT 2025","Validate entity","Files","",""
"","17","Get file","LMS service","Sun Jun 15 07:47:35 GMT 2025","passed","Sun Jun 15 07:47:35 GMT 2025","Get entity","Files","",""
"","19","Create exercise","LMS service","Sun Jun 15 07:47:31 GMT 2025","passed","Sun Jun 15 07:47:31 GMT 2025","Create entity","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Sun Jun 15 07:47:37 GMT 2025","passed","Sun Jun 15 07:47:37 GMT 2025","Validate entity","Files","",""
