"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get courses","LMS service","Sun Jun 15 07:49:44 GMT 2025","passed","Sun Jun 15 07:49:44 GMT 2025","Get entities","Courses","",""
"","20","Delete exercise","LMS service","Sun Jun 15 07:49:48 GMT 2025","passed","Sun Jun 15 07:49:48 GMT 2025","Delete entity","Exercises","",""
"","555","Create user","LMS service","Sun Jun 15 07:49:52 GMT 2025","passed","Sun Jun 15 07:49:52 GMT 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Sun Jun 15 07:49:53 GMT 2025","passed","Sun Jun 15 07:49:53 GMT 2025","Get entity","Users","",""
"","549","Create user","LMS service","Sun Jun 15 07:49:51 GMT 2025","passed","Sun Jun 15 07:49:52 GMT 2025","Create entity","Users","",""
"","296","Delete file","LMS service","Sun Jun 15 07:49:51 GMT 2025","passed","Sun Jun 15 07:49:51 GMT 2025","Delete entity","Files","",""
"","296","Update course","LMS service","Sun Jun 15 07:49:45 GMT 2025","passed","Sun Jun 15 07:49:45 GMT 2025","Update entity","Courses","",""
"","22","Create exercise","LMS service","Sun Jun 15 07:49:46 GMT 2025","passed","Sun Jun 15 07:49:46 GMT 2025","Create entity","Exercises","",""
"","287","Create user","LMS service","Sun Jun 15 07:49:52 GMT 2025","passed","Sun Jun 15 07:49:52 GMT 2025","Create entity","Users","",""
"","13","Create file with empty filename","LMS service","Sun Jun 15 07:49:50 GMT 2025","passed","Sun Jun 15 07:49:50 GMT 2025","Validate entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Sun Jun 15 07:49:52 GMT 2025","passed","Sun Jun 15 07:49:52 GMT 2025","Validate entity","Files","",""
"","253","Create file with empty directory","LMS service","Sun Jun 15 07:49:51 GMT 2025","passed","Sun Jun 15 07:49:51 GMT 2025","Validate entity","Files","",""
"","19","Get exercise","LMS service","Sun Jun 15 07:49:47 GMT 2025","passed","Sun Jun 15 07:49:47 GMT 2025","Get entity","Exercises","",""
"","15","Create file","LMS service","Sun Jun 15 07:49:49 GMT 2025","passed","Sun Jun 15 07:49:49 GMT 2025","Create entity","Files","",""
"","15","Get file","LMS service","Sun Jun 15 07:49:50 GMT 2025","passed","Sun Jun 15 07:49:50 GMT 2025","Get entity","Files","",""
"","22","Update exercise","LMS service","Sun Jun 15 07:49:46 GMT 2025","passed","Sun Jun 15 07:49:46 GMT 2025","Update entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Sun Jun 15 07:49:43 GMT 2025","passed","Sun Jun 15 07:49:44 GMT 2025","Login","Authentication","",""
"","284","Get exercises","LMS service","Sun Jun 15 07:49:48 GMT 2025","passed","Sun Jun 15 07:49:49 GMT 2025","Get entities","Exercises","",""
"","29","Create course","LMS service","Sun Jun 15 07:49:45 GMT 2025","passed","Sun Jun 15 07:49:45 GMT 2025","Create entity","Courses","",""
