"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create exercise","LMS service","Sun Jun 15 07:53:17 GMT 2025","passed","Sun Jun 15 07:53:17 GMT 2025","Create entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Sun Jun 15 07:53:21 GMT 2025","passed","Sun Jun 15 07:53:21 GMT 2025","Validate entity","Files","",""
"","21","Delete exercise","LMS service","Sun Jun 15 07:53:18 GMT 2025","passed","Sun Jun 15 07:53:18 GMT 2025","Delete entity","Exercises","",""
"","33","Update course","LMS service","Sun Jun 15 07:53:15 GMT 2025","passed","Sun Jun 15 07:53:15 GMT 2025","Update entity","Courses","",""
"","19","Get exercise","LMS service","Sun Jun 15 07:53:18 GMT 2025","passed","Sun Jun 15 07:53:18 GMT 2025","Get entity","Exercises","",""
"","296","Delete file","LMS service","Sun Jun 15 07:53:21 GMT 2025","passed","Sun Jun 15 07:53:22 GMT 2025","Delete entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Sun Jun 15 07:53:22 GMT 2025","passed","Sun Jun 15 07:53:22 GMT 2025","Validate entity","Files","",""
"","18","Update exercise","LMS service","Sun Jun 15 07:53:17 GMT 2025","passed","Sun Jun 15 07:53:17 GMT 2025","Update entity","Exercises","",""
"","291","Create user","LMS service","Sun Jun 15 07:53:22 GMT 2025","passed","Sun Jun 15 07:53:22 GMT 2025","Create entity","Users","",""
"","13","Create file with empty filename","LMS service","Sun Jun 15 07:53:20 GMT 2025","passed","Sun Jun 15 07:53:20 GMT 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Sun Jun 15 07:53:20 GMT 2025","passed","Sun Jun 15 07:53:20 GMT 2025","Get entity","Files","",""
"","11","Get user me","LMS service","Sun Jun 15 07:53:23 GMT 2025","passed","Sun Jun 15 07:53:23 GMT 2025","Get entity","Users","",""
"","290","Get exercises","LMS service","Sun Jun 15 07:53:19 GMT 2025","passed","Sun Jun 15 07:53:19 GMT 2025","Get entities","Exercises","",""
"","551","Login with correct email and password","LMS service","Sun Jun 15 07:53:14 GMT 2025","passed","Sun Jun 15 07:53:14 GMT 2025","Login","Authentication","",""
"","555","Create user","LMS service","Sun Jun 15 07:53:22 GMT 2025","passed","Sun Jun 15 07:53:22 GMT 2025","Create entity","Users","",""
"","32","Create course","LMS service","Sun Jun 15 07:53:15 GMT 2025","passed","Sun Jun 15 07:53:15 GMT 2025","Create entity","Courses","",""
"","559","Create user","LMS service","Sun Jun 15 07:53:22 GMT 2025","passed","Sun Jun 15 07:53:23 GMT 2025","Create entity","Users","",""
"","23","Get courses","LMS service","Sun Jun 15 07:53:14 GMT 2025","passed","Sun Jun 15 07:53:14 GMT 2025","Get entities","Courses","",""
"","16","Create file","LMS service","Sun Jun 15 07:53:19 GMT 2025","passed","Sun Jun 15 07:53:19 GMT 2025","Create entity","Files","",""
