"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","563","Create user","LMS service","Sat Jun 14 09:47:04 GMT 2025","passed","Sat Jun 14 09:47:05 GMT 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sat Jun 14 09:47:00 GMT 2025","passed","Sat Jun 14 09:47:00 GMT 2025","Delete entity","Exercises","",""
"","21","Create exercise","LMS service","Sat Jun 14 09:46:58 GMT 2025","passed","Sat Jun 14 09:46:58 GMT 2025","Create entity","Exercises","",""
"","529","Create user","LMS service","Sat Jun 14 09:47:03 GMT 2025","passed","Sat Jun 14 09:47:04 GMT 2025","Create entity","Users","",""
"","285","Get file","LMS service","Sat Jun 14 09:47:02 GMT 2025","passed","Sat Jun 14 09:47:02 GMT 2025","Get entity","Files","",""
"","262","Create file with empty directory","LMS service","Sat Jun 14 09:47:03 GMT 2025","passed","Sat Jun 14 09:47:03 GMT 2025","Validate entity","Files","",""
"","17","Delete file","LMS service","Sat Jun 14 09:47:03 GMT 2025","passed","Sat Jun 14 09:47:03 GMT 2025","Delete entity","Files","",""
"","257","Create file with empty filename","LMS service","Sat Jun 14 09:47:02 GMT 2025","passed","Sat Jun 14 09:47:02 GMT 2025","Validate entity","Files","",""
"","16","Get exercise","LMS service","Sat Jun 14 09:47:00 GMT 2025","passed","Sat Jun 14 09:47:00 GMT 2025","Get entity","Exercises","",""
"","257","Get file with incorrect file id","LMS service","Sat Jun 14 09:47:04 GMT 2025","passed","Sat Jun 14 09:47:04 GMT 2025","Validate entity","Files","",""
"","288","Create user","LMS service","Sat Jun 14 09:47:04 GMT 2025","passed","Sat Jun 14 09:47:04 GMT 2025","Create entity","Users","",""
"","554","Login with correct email and password","LMS service","Sat Jun 14 09:46:56 GMT 2025","passed","Sat Jun 14 09:46:56 GMT 2025","Login","Authentication","",""
"","19","Update exercise","LMS service","Sat Jun 14 09:46:58 GMT 2025","passed","Sat Jun 14 09:46:58 GMT 2025","Update entity","Exercises","",""
"","16","Get exercises","LMS service","Sat Jun 14 09:47:01 GMT 2025","passed","Sat Jun 14 09:47:01 GMT 2025","Get entities","Exercises","",""
"","11","Get user me","LMS service","Sat Jun 14 09:47:05 GMT 2025","passed","Sat Jun 14 09:47:05 GMT 2025","Get entity","Users","",""
"","20","Create file","LMS service","Sat Jun 14 09:47:01 GMT 2025","passed","Sat Jun 14 09:47:01 GMT 2025","Create entity","Files","",""
"","24","Create course","LMS service","Sat Jun 14 09:46:57 GMT 2025","passed","Sat Jun 14 09:46:57 GMT 2025","Create entity","Courses","",""
"","24","Get courses","LMS service","Sat Jun 14 09:46:56 GMT 2025","passed","Sat Jun 14 09:46:56 GMT 2025","Get entities","Courses","",""
"","30","Update course","LMS service","Sat Jun 14 09:46:57 GMT 2025","passed","Sat Jun 14 09:46:57 GMT 2025","Update entity","Courses","",""
