"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get exercise","LMS service","Sun Jun 15 07:46:41 GMT 2025","passed","Sun Jun 15 07:46:41 GMT 2025","Get entity","Exercises","",""
"","261","Create file with empty directory","LMS service","Sun Jun 15 07:46:45 GMT 2025","passed","Sun Jun 15 07:46:45 GMT 2025","Validate entity","Files","",""
"","562","Create user","LMS service","Sun Jun 15 07:46:46 GMT 2025","passed","Sun Jun 15 07:46:46 GMT 2025","Create entity","Users","",""
"","13","Create file with empty filename","LMS service","Sun Jun 15 07:46:44 GMT 2025","passed","Sun Jun 15 07:46:44 GMT 2025","Validate entity","Files","",""
"","14","Get user me","LMS service","Sun Jun 15 07:46:47 GMT 2025","passed","Sun Jun 15 07:46:47 GMT 2025","Get entity","Users","",""
"","20","Delete exercise","LMS service","Sun Jun 15 07:46:42 GMT 2025","passed","Sun Jun 15 07:46:42 GMT 2025","Delete entity","Exercises","",""
"","24","Create exercise","LMS service","Sun Jun 15 07:46:40 GMT 2025","passed","Sun Jun 15 07:46:40 GMT 2025","Create entity","Exercises","",""
"","282","Get exercises","LMS service","Sun Jun 15 07:46:42 GMT 2025","passed","Sun Jun 15 07:46:43 GMT 2025","Get entities","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sun Jun 15 07:46:46 GMT 2025","passed","Sun Jun 15 07:46:46 GMT 2025","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sun Jun 15 07:46:40 GMT 2025","passed","Sun Jun 15 07:46:40 GMT 2025","Update entity","Exercises","",""
"","296","Delete file","LMS service","Sun Jun 15 07:46:45 GMT 2025","passed","Sun Jun 15 07:46:45 GMT 2025","Delete entity","Files","",""
"","38","Update course","LMS service","Sun Jun 15 07:46:39 GMT 2025","passed","Sun Jun 15 07:46:39 GMT 2025","Update entity","Courses","",""
"","14","Create file","LMS service","Sun Jun 15 07:46:43 GMT 2025","passed","Sun Jun 15 07:46:43 GMT 2025","Create entity","Files","",""
"","28","Get courses","LMS service","Sun Jun 15 07:46:38 GMT 2025","passed","Sun Jun 15 07:46:38 GMT 2025","Get entities","Courses","",""
"","552","Login with correct email and password","LMS service","Sun Jun 15 07:46:37 GMT 2025","passed","Sun Jun 15 07:46:38 GMT 2025","Login","Authentication","",""
"","543","Create user","LMS service","Sun Jun 15 07:46:45 GMT 2025","passed","Sun Jun 15 07:46:46 GMT 2025","Create entity","Users","",""
"","558","Create user","LMS service","Sun Jun 15 07:46:46 GMT 2025","passed","Sun Jun 15 07:46:46 GMT 2025","Create entity","Users","",""
"","29","Create course","LMS service","Sun Jun 15 07:46:39 GMT 2025","passed","Sun Jun 15 07:46:39 GMT 2025","Create entity","Courses","",""
"","16","Get file","LMS service","Sun Jun 15 07:46:44 GMT 2025","passed","Sun Jun 15 07:46:44 GMT 2025","Get entity","Files","",""
