"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create exercise","LMS service","Sat Jun 14 15:29:07 GMT 2025","passed","Sat Jun 14 15:29:07 GMT 2025","Create entity","Exercises","",""
"","256","Create file with empty filename","LMS service","Sat Jun 14 15:29:11 GMT 2025","passed","Sat Jun 14 15:29:11 GMT 2025","Validate entity","Files","",""
"","15","Get user me","LMS service","Sat Jun 14 15:29:14 GMT 2025","passed","Sat Jun 14 15:29:14 GMT 2025","Get entity","Users","",""
"","32","Create course","LMS service","Sat Jun 14 15:29:07 GMT 2025","passed","Sat Jun 14 15:29:07 GMT 2025","Create entity","Courses","",""
"","299","Update course","LMS service","Sat Jun 14 15:29:06 GMT 2025","passed","Sat Jun 14 15:29:06 GMT 2025","Update entity","Courses","",""
"","558","Create user","LMS service","Sat Jun 14 15:29:13 GMT 2025","passed","Sat Jun 14 15:29:14 GMT 2025","Create entity","Users","",""
"","17","Get exercise","LMS service","Sat Jun 14 15:29:08 GMT 2025","passed","Sat Jun 14 15:29:08 GMT 2025","Get entity","Exercises","",""
"","290","Delete exercise","LMS service","Sat Jun 14 15:29:09 GMT 2025","passed","Sat Jun 14 15:29:09 GMT 2025","Delete entity","Exercises","",""
"","297","Get courses","LMS service","Sat Jun 14 15:29:05 GMT 2025","passed","Sat Jun 14 15:29:06 GMT 2025","Get entities","Courses","",""
"","15","Get exercises","LMS service","Sat Jun 14 15:29:10 GMT 2025","passed","Sat Jun 14 15:29:10 GMT 2025","Get entities","Exercises","",""
"","287","Update exercise","LMS service","Sat Jun 14 15:29:08 GMT 2025","passed","Sat Jun 14 15:29:08 GMT 2025","Update entity","Exercises","",""
"","15","Get file","LMS service","Sat Jun 14 15:29:11 GMT 2025","passed","Sat Jun 14 15:29:11 GMT 2025","Get entity","Files","",""
"","262","Create file with empty directory","LMS service","Sat Jun 14 15:29:12 GMT 2025","passed","Sat Jun 14 15:29:12 GMT 2025","Validate entity","Files","",""
"","262","Create file","LMS service","Sat Jun 14 15:29:10 GMT 2025","passed","Sat Jun 14 15:29:10 GMT 2025","Create entity","Files","",""
"","286","Login with correct email and password","LMS service","Sat Jun 14 15:29:04 GMT 2025","passed","Sat Jun 14 15:29:05 GMT 2025","Login","Authentication","",""
"","265","Get file with incorrect file id","LMS service","Sat Jun 14 15:29:13 GMT 2025","passed","Sat Jun 14 15:29:13 GMT 2025","Validate entity","Files","",""
"","538","Create user","LMS service","Sat Jun 14 15:29:13 GMT 2025","passed","Sat Jun 14 15:29:13 GMT 2025","Create entity","Users","",""
"","22","Delete file","LMS service","Sat Jun 14 15:29:12 GMT 2025","passed","Sat Jun 14 15:29:12 GMT 2025","Delete entity","Files","",""
"","560","Create user","LMS service","Sat Jun 14 15:29:13 GMT 2025","passed","Sat Jun 14 15:29:14 GMT 2025","Create entity","Users","",""
